,,,,,,"""@parameter""","""@parameterKey""","""sigdef""","""sigdef""","""sigdef""","""sigdef""","""@rangeLow""","""@rangeHigh""","""@deltaPercent""","""@EU""","""@isarchive""","""@isalarm""","""@alarmtype""","""@prio""","""@active""","""@inactive"""
406,DCO,170,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
406,DCO,260,DEV1,I,Link to Device 1,,,,,,,,,,,,,,,,
406,DCO,270,DEV2,I,Link to Device 2,,,,,,,,,,,,,,,,
406,DCO,280,DEV3,I,Link to Device 3,,,,,,,,,,,,,,,,
406,DCO,290,DEV4,I,Link to Device 4,,,,,,,,,,,,,,,,
406,DCO,1090,ON,O,Status ON,,,,,,,,,,,,,,,,
406,DCO,1080,OFF,O,Status OFF,,,,,,,,,,,,,,,,
406,DCO,1010,C1_START,O,Device 1 Command START,,,,,,,,,,,,,,,,
406,DCO,1030,C2_START,O,Device 2 Command START,,,,,,,,,,,,,,,,
406,DCO,1050,C3_START,O,Device 3 Command START,,,,,,,,,,,,,,,,
406,DCO,1070,C4_START,O,Device 4 Command START,,,,,,,,,,,,,,,,
406,DCO,1000,C1_STOP,O,Device 1 Command STOP,,,,,,,,,,,,,,,,
406,DCO,1020,C2_STOP,O,Device 2 Command STOP,,,,,,,,,,,,,,,,
406,DCO,1040,C3_STOP,O,Device 3 Command STOP,,,,,,,,,,,,,,,,
406,DCO,1060,C4_STOP,O,Device 4 Command STOP,,,,,,,,,,,,,,,,
406,DCO,1100,SEL1,O,Status Preselection Device 1,,,,,,,,,,,,,,,,
406,DCO,1110,SEL2,O,Status Preselection Device 2,,,,,,,,,,,,,,,,
406,DCO,1120,SEL3,O,Status Preselection Device 3,,,,,,,,,,,,,,,,
406,DCO,1130,SEL4,O,Status Preselection Device 4,,,,,,,,,,,,,,,,
406,DCO,1330,RESET,O,RESET Impuls,,,,,,,,,,,,,,,,
406,DCO,1300,RESET_P,O,Operator Response,,,,,,,,,,,,,,,,
406,DCO,1160,F_START,O,Failure Requirement START,,,,,,,,,,,,,,,,
406,DCO,1150,F_STOP,O,Failure Requirement STOP,,,,,,,,,,,,,,,,
406,DCO,1170,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
406,DCO,1180,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
406,DCO,1190,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
406,DCO,1140,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
407,SGC,30,A_ON,I,Automatic Command ON,,,,,,,,,,,,,,,,
407,SGC,40,EN_ON,I,Enabling ON,,,,,,,,,,,,,,,,
407,SGC,10,A_OFF,I,Automatic Command OFF,,,,,,,,,,,,,,,,
407,SGC,20,EN_OFF,I,Enabling OFF,,,,,,,,,,,,,,,,
407,SGC,100,FB_OP,I,Feedback OPERATION,,,,,,,,,,,,,,,,
407,SGC,110,P1_OP,I,Protection 1 OPERATION,,,,,,,,,,,,,,,,
407,SGC,120,P2_OP,I,Protection 2 OPERATION,,,,,,,,,,,,,,,,
407,SGC,130,A_OP,I,Automatic Command OPERATION,,,,,,,,,,,,,,,,
407,SGC,140,EN_OP,I,Enabling OPERATION,,,,,,,,,,,,,,,,
407,SGC,50,FB_SD,I,Feedback SHUTDOWN,,,,,,,,,,,,,,,,
407,SGC,60,P1_SD,I,Protection 1 SHUTDOWN,,,,,,,,,,,,,,,,
407,SGC,70,P2_SD,I,Protection 2 SHUTDOWN,,,,,,,,,,,,,,,,
407,SGC,80,A_SD,I,Automatic Command SHUTDOWN,,,,,,,,,,,,,,,,
407,SGC,90,EN_SD,I,Enabling SHUTDOWN,,,,,,,,,,,,,,,,
407,SGC,150,A_RESET,I,Automatic Command Operator Response,,,,,,,,,,,,,,,,
407,SGC,160,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
407,SGC,170,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
407,SGC,180,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
407,SGC,190,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
407,SGC,200,RTE_STP,I,STOP SEQUENCE by Runtime Error,,,,,,,,,,,,,,,,
407,SGC,210,RTE_BLC,I,BLOCK COMMAND by Runtime Error,,,,,,,,,,,,,,,,
407,SGC,1010,ON,O,Status ON,,,,,,,,,,,,,,,,
407,SGC,1000,OFF,O,Status OFF,,,,,,,,,,,,,,,,
407,SGC,1030,OP,O,Status OPERATION,,,,,,,,,,,,,,,,
407,SGC,1020,SD,O,Status SHUTDOWN,,,,,,,,,,,,,,,,
407,SGC,1310,OP_FB,O,Process Feedback STARTUP,,,,,,,,,,,,,,,,
407,SGC,1300,SD_FB,O,Process Feedback SHUTDOWN,,,,,,,,,,,,,,,,
407,SGC,1170,RESET_P,O,Operator Response,,,,,,,,,,,,,,,,
407,SGC,1050,FS_OP,O,First Step OPERATION,,,,,,,,,,,,,,,,
407,SGC,1040,FS_SD,O,First Step SHUTDOWN,,,,,,,,,,,,,,,,
407,SGC,1080,P_OP,O,Protection Execution OPERATION,,,,,,,,,,,,,,,,
407,SGC,1070,P_SD,O,Protection Execution SHUTDOWN,,,,,,,,,,,,,,,,
407,SGC,1090,RTE,O,Runtime Error,,,,,,,,,,,,,,,,
407,SGC,1100,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
407,SGC,1110,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
407,SGC,1120,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
407,SGC,1240,STEP_A,O,Number of Active STEP,,,,,,,,,,,,,,,,
407,SGC,1250,STEP_N,O,Number of Next STEP,,,,,,,,,,,,,,,,
407,SGC,1270,R_WT,O,Remaining Waiting Time (sec),,,,,,,,,,,,,,,,
407,SGC,1280,R_MT,O,Remaining Monitoring Time (sec),,,,,,,,,,,,,,,,
407,SGC,1330,CMD_BL,O,Step Command Output Blocked,,,,,,,,,,,,,,,,
407,SGC,1320,GC,O,Link to Group Control Function,,,,,,,,,,,,,,,,
407,SGC,1060,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
408,PBO,70,EN_INC,I,Enable increment command,,,,,,,,,,,,,,,,
408,PBO,60,EN_DEC,I,Enable decrement command,,,,,,,,,,,,,,,,
408,PBO,80,TIME,I,Pulse time [sec],,,,,,,,,,,,,,,,
408,PBO,1010,INC,O,Increment output,,,,,,,,,,,,,,,,
408,PBO,1000,DEC,O,Decrement output,,,,,,,,,,,,,,,,
409,STEP,110,STEP,I,STEP Number,,,,,,,,,,,,,,,,
409,STEP,130,T_WAIT,I,Waiting Time (sec),,,,,,,,,,,,,,,,
409,STEP,140,T_MON,I,Monitoring Time (sec),,,,,,,,,,,,,,,,
409,STEP,10,IN1,I,Input 1. Previous Step,,,,,,,,,,,,,,,,
409,STEP,20,IN2,I,Input 2. Previous Step,,,,,,,,,,,,,,,,
409,STEP,30,IN3,I,Input 3. Previous Step,,,,,,,,,,,,,,,,
409,STEP,40,IN4,I,Input 4. Previous Step,,,,,,,,,,,,,,,,
409,STEP,50,IN5,I,Input 5. Previous Step,,,,,,,,,,,,,,,,
409,STEP,60,IN6,I,Input 6. Previous Step,,,,,,,,,,,,,,,,
409,STEP,70,IN7,I,Input 7. Previous Step,,,,,,,,,,,,,,,,
409,STEP,80,IN8,I,Input 8. Previous Step,,,,,,,,,,,,,,,,
409,STEP,90,IN9,I,Input 9. Previous Step,,,,,,,,,,,,,,,,
409,STEP,100,IN10,I,Input 10. Previous Step,,,,,,,,,,,,,,,,
409,STEP,120,CRIT,I,Continuation Criterion,,,,,,,,,,,,,,,,
409,STEP,1000,CMD,O,Command Output,,,,,,,,,,,,,,,,
409,STEP,1010,WT,O,Waiting Time Expired,,,,,,,,,,,,,,,,
409,STEP,1030,NEXT,O,Link Next Step,,,,,,,,,,,,,,,,
409,STEP,1020,MT,O,Monitoring Time Expired,,,,,,,,,,,,,,,,
409,STEP,1040,RTE,O,Runtime Error Step,,,,,,,,,,,,,,,,
409,STEP,1060,R_WT,O,Remaining Waiting Time,,,,,,,,,,,,,,,,
409,STEP,1070,R_MT,O,Remaining Monitoring Time,,,,,,,,,,,,,,,,
410,BRANCH,110,STEP,I,STEP Number,,,,,,,,,,,,,,,,
410,BRANCH,220,T_WAIT,I,Waiting Time (sec),,,,,,,,,,,,,,,,
410,BRANCH,230,T_MON,I,Monitoring Time (sec),,,,,,,,,,,,,,,,
410,BRANCH,10,IN1,I,Input 1. Previous Step,,,,,,,,,,,,,,,,
410,BRANCH,20,IN2,I,Input 2. Previous Step,,,,,,,,,,,,,,,,
410,BRANCH,30,IN3,I,Input 3. Previous Step,,,,,,,,,,,,,,,,
410,BRANCH,40,IN4,I,Input 4. Previous Step,,,,,,,,,,,,,,,,
410,BRANCH,50,IN5,I,Input 5. Previous Step,,,,,,,,,,,,,,,,
410,BRANCH,60,IN6,I,Input 6. Previous Step,,,,,,,,,,,,,,,,
410,BRANCH,70,IN7,I,Input 7. Previous Step,,,,,,,,,,,,,,,,
410,BRANCH,80,IN8,I,Input 8. Previous Step,,,,,,,,,,,,,,,,
410,BRANCH,90,IN9,I,Input 9. Previous Step,,,,,,,,,,,,,,,,
410,BRANCH,100,IN10,I,Input 10. Previous Step,,,,,,,,,,,,,,,,
410,BRANCH,120,CRIT1,I,1. Continuation Criterion,,,,,,,,,,,,,,,,
410,BRANCH,130,CRIT2,I,2. Continuation Criterion,,,,,,,,,,,,,,,,
410,BRANCH,140,CRIT3,I,3. Continuation Criterion,,,,,,,,,,,,,,,,
410,BRANCH,150,CRIT4,I,4. Continuation Criterion,,,,,,,,,,,,,,,,
410,BRANCH,160,CRIT5,I,5. Continuation Criterion,,,,,,,,,,,,,,,,
410,BRANCH,170,CRIT6,I,6. Continuation Criterion,,,,,,,,,,,,,,,,
410,BRANCH,180,CRIT7,I,7. Continuation Criterion,,,,,,,,,,,,,,,,
410,BRANCH,190,CRIT8,I,8. Continuation Criterion,,,,,,,,,,,,,,,,
410,BRANCH,200,CRIT9,I,9. Continuation Criterion,,,,,,,,,,,,,,,,
410,BRANCH,210,CRIT10,I,10. Continuation Criterion,,,,,,,,,,,,,,,,
410,BRANCH,1000,CMD,O,Command Output,,,,,,,,,,,,,,,,
410,BRANCH,1010,WT,O,Waiting Time Expired,,,,,,,,,,,,,,,,
410,BRANCH,1020,NEXT1,O,Output 1. Next Step,,,,,,,,,,,,,,,,
410,BRANCH,1030,NEXT2,O,Output 2. Next Step,,,,,,,,,,,,,,,,
410,BRANCH,1040,NEXT3,O,Output 3. Next Step,,,,,,,,,,,,,,,,
410,BRANCH,1050,NEXT4,O,Output 4. Next Step,,,,,,,,,,,,,,,,
410,BRANCH,1060,NEXT5,O,Output 5. Next Step,,,,,,,,,,,,,,,,
410,BRANCH,1070,NEXT6,O,Output 6. Next Step,,,,,,,,,,,,,,,,
410,BRANCH,1080,NEXT7,O,Output 7. Next Step,,,,,,,,,,,,,,,,
410,BRANCH,1090,NEXT8,O,Output 8. Next Step,,,,,,,,,,,,,,,,
410,BRANCH,1100,NEXT9,O,Output 9. Next Step,,,,,,,,,,,,,,,,
410,BRANCH,1110,NEXT10,O,Output 10. Next Step,,,,,,,,,,,,,,,,
410,BRANCH,1140,MT,O,Monitoring Time Expired,,,,,,,,,,,,,,,,
410,BRANCH,1120,RTE,O,Runtime Error Step,,,,,,,,,,,,,,,,
410,BRANCH,1150,R_WT,O,Remaining Waiting Time,,,,,,,,,,,,,,,,
410,BRANCH,1160,R_MT,O,Remaining Monitoring Time,,,,,,,,,,,,,,,,
411,SLC_OP_SD,30,A_ON,I,Automatic Command ON,,,,,,,,,,,,,,,,
411,SLC_OP_SD,40,EN_ON,I,Enabling ON,,,,,,,,,,,,,,,,
411,SLC_OP_SD,10,A_OFF,I,Automatic Command OFF,,,,,,,,,,,,,,,,
411,SLC_OP_SD,20,EN_OFF,I,Enabling OFF,,,,,,,,,,,,,,,,
411,SLC_OP_SD,70,A_OP,I,Automatic Command OPERATION,,,,,,,,,,,,,,,,
411,SLC_OP_SD,80,EN_OP,I,Enabling OPERATION,,,,,,,,,,,,,,,,
411,SLC_OP_SD,50,A_SD,I,Automatic Command SHUTDOWN,,,,,,,,,,,,,,,,
411,SLC_OP_SD,60,EN_SD,I,Enabling SHUTDOWN,,,,,,,,,,,,,,,,
411,SLC_OP_SD,100,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
411,SLC_OP_SD,90,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
411,SLC_OP_SD,110,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
411,SLC_OP_SD,120,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
411,SLC_OP_SD,1010,ON,O,Status ON,,,,,,,,,,,,,,,,
411,SLC_OP_SD,1000,OFF,O,Status OFF,,,,,,,,,,,,,,,,
411,SLC_OP_SD,1030,OP,O,Status OPERATION,,,,,,,,,,,,,,,,
411,SLC_OP_SD,1020,SD,O,Status SHUT DOWN,,,,,,,,,,,,,,,,
411,SLC_OP_SD,1040,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
411,SLC_OP_SD,1050,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
411,SLC_OP_SD,1060,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
412,GC,30,A_ON,I,Automatic Command ON,,,,,,,,,,,,,,,,
412,GC,40,EN_ON,I,Enabling ON,,,,,,,,,,,,,,,,
412,GC,10,A_OFF,I,Automatic Command OFF,,,,,,,,,,,,,,,,
412,GC,20,EN_OFF,I,Enabling OFF,,,,,,,,,,,,,,,,
412,GC,180,OP0,I,All SGC SHUTDOWN,,,,,,,,,,,,,,,,
412,GC,190,OP1,I,1 SGC in OPERATION Required,,,,,,,,,,,,,,,,
412,GC,200,OP2,I,2 SGC in OPERATION Required,,,,,,,,,,,,,,,,
412,GC,210,OP3,I,3 SGC in OPERATION Required,,,,,,,,,,,,,,,,
412,GC,220,OP4,I,4 SGC in OPERATION Required,,,,,,,,,,,,,,,,
412,GC,90,A_SEL1,I,Automatic Command Preselection SGC 1,,,,,,,,,,,,,,,,
412,GC,50,EN_SEL1,I,Enabling Preselection SGC 1,,,,,,,,,,,,,,,,
412,GC,100,A_SEL2,I,Automatic Command Preselection SGC 2,,,,,,,,,,,,,,,,
412,GC,60,EN_SEL2,I,Enabling Preselection SGC 2,,,,,,,,,,,,,,,,
412,GC,110,A_SEL3,I,Automatic Command Preselection SGC 3,,,,,,,,,,,,,,,,
412,GC,70,EN_SEL3,I,Enabling Preselection SGC 3,,,,,,,,,,,,,,,,
412,GC,120,A_SEL4,I,Automatic Command Preselection SGC 4,,,,,,,,,,,,,,,,
412,GC,80,EN_SEL4,I,Enabling Preselection SGC 4,,,,,,,,,,,,,,,,
412,GC,240,T_C,I,Command Monitoring Time (sec),,,,,,,,,,,,,,,,
412,GC,130,A_RESET,I,Automatic Command RESET,,,,,,,,,,,,,,,,
412,GC,150,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
412,GC,140,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
412,GC,160,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
412,GC,230,SEL_MODE,I,Preselection Tracking Mode,,,,,,,,,,,,,,,,
412,GC,170,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
412,GC,250,SGC1,I,Link to SGC 1,,,,,,,,,,,,,,,,
412,GC,260,SGC2,I,Link to SGC 2,,,,,,,,,,,,,,,,
412,GC,270,SGC3,I,Link to SGC 3,,,,,,,,,,,,,,,,
412,GC,280,SGC4,I,Link to SGC 4,,,,,,,,,,,,,,,,
412,GC,1090,ON,O,Status ON,,,,,,,,,,,,,,,,
412,GC,1080,OFF,O,Status OFF,,,,,,,,,,,,,,,,
412,GC,1010,C1_OP,O,SGC 1 Command OPERATION,,,,,,,,,,,,,,,,
412,GC,1000,C1_SD,O,SGC 1 Command SHUTDOWN,,,,,,,,,,,,,,,,
412,GC,1030,C2_OP,O,SGC 2 Command OPERATION,,,,,,,,,,,,,,,,
412,GC,1020,C2_SD,O,SGC 2 Command SHUTDOWN,,,,,,,,,,,,,,,,
412,GC,1050,C3_OP,O,SGC 3 Command OPERATION,,,,,,,,,,,,,,,,
412,GC,1040,C3_SD,O,SGC 3 Command SHUTDOWN,,,,,,,,,,,,,,,,
412,GC,1070,C4_OP,O,SGC 4 Command OPERATION,,,,,,,,,,,,,,,,
412,GC,1060,C4_SD,O,SGC 4 Command SHUTDOWN,,,,,,,,,,,,,,,,
412,GC,1100,SEL1,O,Status Preselection SGC 1,,,,,,,,,,,,,,,,
412,GC,1110,SEL2,O,Status Preselection SGC 2,,,,,,,,,,,,,,,,
412,GC,1120,SEL3,O,Status Preselection SGC 3,,,,,,,,,,,,,,,,
412,GC,1130,SEL4,O,Status Preselection SGC 4,,,,,,,,,,,,,,,,
412,GC,1160,F_OP,O,Failure Requirement OPERATION,,,,,,,,,,,,,,,,
412,GC,1150,F_SD,O,Failure Requirement SHUTDOWN,,,,,,,,,,,,,,,,
412,GC,1170,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
412,GC,1180,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
412,GC,1190,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
412,GC,1140,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
413,MOTOR_2SR,120,P1_START1,I,Protection 1 Command START 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,130,P2_START1,I,Protection 2 Command START 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,150,A_START1,I,Automatic Command START 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,140,EN_START1,I,Enabling START 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,160,P1_START2,I,Protection 1 Command START 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,170,P2_START2,I,Protection 2 Command START 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,190,A_START2,I,Automatic Command START 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,180,EN_START2,I,Enabling START 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,80,P1_STOP,I,Protection 1 Command STOP,,,,,,,,,,,,,,,,
413,MOTOR_2SR,90,P2_STOP,I,Protection 2 Command STOP,,,,,,,,,,,,,,,,
413,MOTOR_2SR,110,A_STOP,I,Automatic Command STOP,,,,,,,,,,,,,,,,
413,MOTOR_2SR,100,EN_STOP,I,Enabling STOP,,,,,,,,,,,,,,,,
413,MOTOR_2SR,70,FB_LOC,I,Feedback LOCAL Control,,,,,,,,,,,,,,,,
413,MOTOR_2SR,20,FB_RUN1,I,Feedback RUNNING 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,10,FB_STOP1,I,Feedback STOPPED 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,40,FB_RUN2,I,Feedback RUNNING 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,30,FB_STOP2,I,Feedback STOPPED 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,60,FB_TEST,I,Feedback TESTPOSITION,,,,,,,,,,,,,,,,
413,MOTOR_2SR,50,FB_NTRBL,I,Feedback Equipment NO TROUBLE,,,,,,,,,,,,,,,,
413,MOTOR_2SR,280,UV_TS,I,Undervoltage Threshold Signal,,,,,,,,,,,,,,,,
413,MOTOR_2SR,290,UV_TO,I,Maximum Undervoltage Timeout (sec),,,,,,,,,,,,,,,,
413,MOTOR_2SR,300,UV_ST,I,Undervoltage Staggering Time (sec),,,,,,,,,,,,,,,,
413,MOTOR_2SR,200,A_RESET,I,Automatic Command Operator Response,,,,,,,,,,,,,,,,
413,MOTOR_2SR,250,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
413,MOTOR_2SR,240,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
413,MOTOR_2SR,260,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
413,MOTOR_2SR,210,M_C,I,Maintained Command Output,,,,,,,,,,,,,,,,
413,MOTOR_2SR,220,T_C,I,Command Monitoring Time (sec),,,,,,,,,,,,,,,,
413,MOTOR_2SR,230,T_CHO,I,Command Changeover Delay Time (sec),,,,,,,,,,,,,,,,
413,MOTOR_2SR,270,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
413,MOTOR_2SR,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1050,RUNNING1,O,Status RUNNING 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1060,RUNNING2,O,Status RUNNING 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1040,STOPPED,O,Status STOPPED,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1020,C_START1,O,Output Command START 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1000,C_STOP1,O,Output Command STOP 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1030,C_START2,O,Output Command START 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1010,C_STOP2,O,Output Command STOP 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1220,UV,O,UNDERVOLTAGE Present,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1240,LOCAL,O,LOCAL Control,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1090,RESET,O,RESET Impulse,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1110,P_START1,O,Protection Execution START 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1120,P_START2,O,Protection Execution START 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1100,P_STOP,O,Protection Execution STOP,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1130,P_UVSTOP,O,Protection Undervoltage STOP,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1150,F_START1,O,Failed to START 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1160,F_START2,O,Failed to START 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1140,F_STOP,O,Failed to STOP,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1170,FB_ERR,O,Feedback Error,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1190,SD_NRUN1,O,Status Discrepancy NOT RUNNING 1,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1200,SD_NRUN2,O,Status Discrepancy NOT RUNNING 2,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1180,SD_NSTOP,O,Status Discrepancy NOT STOPPED,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1210,TRBL,O,Equipment in TROUBLE,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1230,TEST,O,TESTPOSITION,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1250,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1260,TAGOUT,O,TAGOUT Mode,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1270,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1280,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1320,RESET_P,O,Operator Response,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1070,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
413,MOTOR_2SR,1080,Q_AL,O,Quality Alarm,,,,,,,,,,,,,,,,
414,PULSE_OP,120,P1_OPEN,I,Protection 1 Command OPEN,,,,,,,,,,,,,,,,
414,PULSE_OP,130,P2_OPEN,I,Protection 2 Command OPEN,,,,,,,,,,,,,,,,
414,PULSE_OP,150,A_OPEN,I,Automatic Command OPEN,,,,,,,,,,,,,,,,
414,PULSE_OP,70,P1_CLOSE,I,Protection 1 Command CLOSE,,,,,,,,,,,,,,,,
414,PULSE_OP,80,P2_CLOSE,I,Protection 2 Command CLOSE,,,,,,,,,,,,,,,,
414,PULSE_OP,100,A_CLOSE,I,Automatic Command CLOSE,,,,,,,,,,,,,,,,
414,PULSE_OP,110,A_STOP,I,Automatic Command STOP Moving,,,,,,,,,,,,,,,,
414,PULSE_OP,360,PULSE_OP,I,Pulse Operation ON/OFF,,,,,,,,,,,,,,,,
414,PULSE_OP,1120,P1_OPEN,O,Protection 1 Command OPEN,,,,,,,,,,,,,,,,
414,PULSE_OP,1130,P2_OPEN,O,Protection 2 Command OPEN,,,,,,,,,,,,,,,,
414,PULSE_OP,1150,A_OPEN,O,Automatic Command OPEN,,,,,,,,,,,,,,,,
414,PULSE_OP,1070,P1_CLOSE,O,Protection 1 Command CLOSE,,,,,,,,,,,,,,,,
414,PULSE_OP,1080,P2_CLOSE,O,Protection 2 Command CLOSE,,,,,,,,,,,,,,,,
414,PULSE_OP,1100,A_CLOSE,O,Automatic Command CLOSE,,,,,,,,,,,,,,,,
414,PULSE_OP,1110,A_STOP,O,Automatic Command STOP Moving,,,,,,,,,,,,,,,,
600,GASMEAS,10,IN1,I,Volume % METHANE(CH4),,,,,,,,,,,,,,,,
600,GASMEAS,20,IN2,I,Volume % NITROGEN(N2),,,,,,,,,,,,,,,,
600,GASMEAS,30,IN3,I,Volume % CARBON DIOXIDE(CO2),,,,,,,,,,,,,,,,
600,GASMEAS,40,IN4,I,Volume % ETHANE(C2H6),,,,,,,,,,,,,,,,
600,GASMEAS,50,IN5,I,Volume % PROPANE(C3H8),,,,,,,,,,,,,,,,
600,GASMEAS,60,IN6,I,Volume % HYDROGEN SULFIDE(H2S),,,,,,,,,,,,,,,,
600,GASMEAS,70,IN7,I,Volume % HYDROGEN(H2),,,,,,,,,,,,,,,,
600,GASMEAS,80,IN8,I,Volume % CARBON MONOXIDE(CO),,,,,,,,,,,,,,,,
600,GASMEAS,90,IN9,I,Volume % OXYGEN(O2),,,,,,,,,,,,,,,,
600,GASMEAS,100,IN10,I,Volume % I-BUTANE(C4H10),,,,,,,,,,,,,,,,
600,GASMEAS,110,IN11,I,Volume %N-BUTANE(C4H10),,,,,,,,,,,,,,,,
600,GASMEAS,120,IN12,I,Volume % I-PENTANE(C5H12),,,,,,,,,,,,,,,,
600,GASMEAS,130,IN13,I,Volume % N-PENTANE(C5H12),,,,,,,,,,,,,,,,
600,GASMEAS,140,IN14,I,Volume % N-HEXANE(C6H14),,,,,,,,,,,,,,,,
600,GASMEAS,150,IN15,I,Volume % N-HEPTANE(C7H16),,,,,,,,,,,,,,,,
600,GASMEAS,160,IN16,I,Volume % N-OCTANE(C8H18),,,,,,,,,,,,,,,,
600,GASMEAS,170,IN17,I,Volume % HELIUM(HE),,,,,,,,,,,,,,,,
600,GASMEAS,180,IN18,I,Volume % ARGON(A),,,,,,,,,,,,,,,,
600,GASMEAS,190,V_HLV,I,Volume Higher Limit Value,,,,,,,,,,,,,,,,
600,GASMEAS,200,V_HDB,I,Volume Higher Signal Deadband,,,,,,,,,,,,,,,,
600,GASMEAS,210,V_LLV,I,Volume Lower Limit Value,,,,,,,,,,,,,,,,
600,GASMEAS,220,V_LDB,I,Volume Lower Signal Deadband,,,,,,,,,,,,,,,,
600,GASMEAS,230,M_HLV,I,Molecular Weight Higher Limit Value,,,,,,,,,,,,,,,,
600,GASMEAS,240,M_HDB,I,Molecular Weight Higher Signal Deadband,,,,,,,,,,,,,,,,
600,GASMEAS,250,M_LLV,I,Molecular Weight Lower Limit Value,,,,,,,,,,,,,,,,
600,GASMEAS,260,M_LDB,I,Molecular Weight Lower Signal Deadband,,,,,,,,,,,,,,,,
600,GASMEAS,1000,MR,O,Gas Mixture Molecular Weight,,,,,,,,,,,,,,,,
